year,usa,turkiye,australia,europe,japan
1996,0,0,0,0,0.13660035857590458
1997,2.3377832179423352,85.66935082304393,0.22488658206456513,1.6987224484065644,1.8867924528301643
1998,3.92074360249397,242.82239244890968,1.0869605575337227,2.9481959848378425,2.5612567232988397
1999,6.199875046220149,465.20262308397935,2.5862057832290786,4.155552435771437,2.211218304784012
2000,9.775720715551639,775.5858794627105,7.1589184522501625,6.429875052646361,1.5196789890771498
2001,12.867689247599735,1251.9061284609004,11.88155685457919,8.99901726800505,0.7683770170753519
2002,14.668681227607117,1859.778847677498,15.217391304347828,11.469886283869158,-0.16221292578218538
2003,17.303548432340076,2283.1388017728045,18.365815560635635,13.828443071739427,-0.4183385977965912
2004,20.432493082915748,2488.0474431306857,21.139431537345544,16.313351116102748,-0.4268761200054456
2005,24.486478215966034,2699.727937682556,24.400301102562928,18.868454302962224,-0.7086143598044004
2006,28.497112037639138,2968.424562944401,28.823088038276133,21.479713603818617,-0.46102620988474996
2007,32.18579862040827,3237.1013677946985,31.82159059705061,24.119050961673437,-0.40126355350396636
2008,37.22857616442896,3585.6325407480235,37.556224672362106,28.2746033974449,0.9732775546638095
2009,36.78932537709265,3816.0204505246825,39.992500686488654,28.667696195423286,-0.39272603158052277
2010,39.027655586581474,4151.484279722623,44.077955731207695,30.74547241330898,-1.1181092389294918
2011,43.39275013069146,4426.635217590342,48.8380826295042,34.31138565211287,-1.387518503515011
2012,46.365502556452334,4829.124123076166,51.4617688371116,37.66671346342834,-1.4309716102852832
2013,48.511392469622194,5198.467918412771,55.17241560225274,39.5198652253264,-1.100727995507583
2014,50.91037753892056,5667.624615274427,59.032984064907204,40.12354345079321,1.6281271371295674
2015,51.093345573703594,6110.050511516694,61.43175947568247,40.390284992278524,2.436354931190948
2016,53.007815986433584,6592.889812898422,63.49326756817708,40.71318264776078,2.305995610069772
2017,56.26936464828061,7338.766572166948,66.67916417725404,42.88923206514108,2.801361032238802
2018,60.08109245304669,8553.699839480543,69.86506078633099,45.388179138003636,3.8181637409016247
2019,62.983717757462145,9867.056716495768,72.60116808810042,47.129018671907886,4.304838541629152
2020,65.02569202718382,11090.907098988313,74.06293288941745,47.49403341288782,4.278766677333309
2021,72.7505132030244,13283.934205755748,79.04798672772448,51.312649164677794,4.0354292773848215
2022,86.55471828022796,22961.7008893931,90.854582733547,64.00393092797975,6.633925088423069
2023,94.25403868467019,35382.5970059069,101.53676600801961,72.87659693949178,10.118864286504305
2024,99.98852465287074,56142.201599564156,107.90851886822756,76.93387617576863,13.13450992673937
